question_formal,question_conversational,answer,context,page,chunck
لماذا تصدر الميزانية العامة؟,ليش يطلعون الميزانية العامة؟,"يعـرض تفاصيـل الميزانيـة المعتمـدة علـى جانب الايرادات، والنفقات بحسـب التصنيف الاقتصـادي، وبحسـب القطاعـات وأهـم المشـاريع والبرامـج، كمـا يعـرض مسـتويات عجـز أو فائـض الميزانيـة والديـن العـام. كمـا يسـتعرض هـذا البيـان أبرز التطـورات المالية والاقتصاديــة لعــام 2023م، والاطــار المالــي والافــاق المســتقبلية لالقتصــاد علــى المــدى المتوســط، وأهــم الاســتراتيجيات والممكنــات الاقتصاديــة، وأهــم التحديــات التـي تواجـه الاقتصـاد خـال العـام المالـي القـادم وعلـى المـدى المتوسـط.","تصــدر وزارة الماليــة بيــان الميزانيــة العامــة للدولــة للعــام المالــي 2024م، الــذي
يعـرض تفاصيـل الميزانيـة المعتمـدة علـى جانب الإيرادات، والنفقات بحسـب التصنيف
الاقتصـادي، وبحسـب القطاعـات وأهـم المشـاريع والبرامـج، كمـا يعـرض مسـتويات
عجـز أو فائـض الميزانيـة والديـن العـام. كمـا يسـتعرض هـذا البيـان أبرز التطـورات المالية
والاقتصاديــة لعــام 2023م، والإطــار المالــي والآفــاق المســتقبلية للاقتصــاد علــى
المــدى المتوســط، وأهــم الاســتراتيجيات والممكنــات الاقتصاديــة، وأهــم التحديــات
التـي تواجـه الاقتصـاد خـال العـام المالـي القـادم وعلـى المـدى المتوسـط. ",٣,6
ما الذي يعززه اصدار البيان؟,وش الفايدة من البيان اللي يطلعونه؟,مســتوى الافصــاح المالــي والشــفافية,"يعكــس البيــان وفقً ــا للتوجيهــات الكريمــة اســتمرار نهــج وزارة الماليــة فــي تعزيــز مســتوى الافصــاح المالــي والشــفافية، التــي تعــد إحــدى الركائــز فــي عمليــة تطويــر إعـداد وتنفيـذ الميزانيـة العامـة للدولـة، مـع رفـع كفـاءة إدارة الماليـة العامـة. ويتبـع تبويــب البيانــات الماليــة الــواردة فــي هــذه الوثيقــة دليــل إحصــاءات ماليــة الحكومــة )2014 GFSM )الصــادر مــن صنــدوق النقــد الدولــي وهــو تصنيــف عالمــي موحــد، ووفــق الاســاس النقــدي.",٣,8
هل تتبع الوثيقة أي تصنيف عالمي؟,هل فيه تصنيف عالمي للميزانية؟,GFSM 2014,"يعكــس البيــان وفقً ــا للتوجيهــات الكريمــة اســتمرار نهــج وزارة الماليــة فــي تعزيــز مســتوى الافصــاح المالــي والشــفافية، التــي تعــد إحــدى الركائــز فــي عمليــة تطويــر إعـداد وتنفيـذ الميزانيـة العامـة للدولـة، مـع رفـع كفـاءة إدارة الماليـة العامـة. ويتبـع تبويــب البيانــات الماليــة الــواردة فــي هــذه الوثيقــة دليــل إحصــاءات ماليــة الحكومــة )2014 GFSM )الصــادر مــن صنــدوق النقــد الدولــي وهــو تصنيــف عالمــي موحــد، ووفــق الاســاس النقــدي.",٣,9
لماذا اطلقت مناطق اقتصادية؟,وش السبب ورا انشاء مناطق اقتصادية؟,لتُ ســاهم فــي دعــم االقتصــاد المحلــي والمنشــآت الصغيــرة والمتوســطة فــي مناطــق المملكــة المختلفــة وتعزيــز االبتــكار.,"كمــا تواصــل الحكومــة دعــم تنويــع القاعــدة االقتصاديــة للمملكــة؛ عبــر إطــاق العديــد مــن
البرامــج والمبــادرات؛ لالســتفادة مــن كافــة المــوارد واغتنــام الفــرص المتاحــة لتنميــة وتطويــر
القطاعـات المختلفـة. إذ أطلقـت أربـع مناطـق اقتصاديـة خاصـة ترتكـز علـى المزايـا التنافسـية لـكل
منطقــة؛ لتســاهم فــي دعــم االقتصــاد المحلــي والمنشــآت الصغيــرة والمتوســطة فــي مناطــق
المملكــة المختلفــة وتعزيــز االبتــكار.",٤,11
ما دور صندوق الاستثمارات العامة في تحقيق رؤية ٢٠٣٠؟,وش دور صندوق الاستثمارات العامة في تحقيق رؤية ٢٠٣٠؟,"تطويــر ً مشـاريع كبـرى رائـدة محلي ً ـا وعالميـا، وإطـاق قطاعـات جديـدة تسـاهم فـي تحقيـق مسـتهدفات التنــوع االقتصــادي.","وتعــزز الممكنــات االقتصاديــة الداعمــة لنمــو القطــاع الخــاص دورهــا فــي تنامــي اقتصــاد المملكــة علــى المدييــن المتوســط والطويــل، حيــث تســعى المملكــة نحــو تحقيــق مســتهدفات رؤيـة السـعودية 2030؛ عبـر مجموعـة مـن األذرع االسـتثمارية، منهـا صنـدوق االسـتثمارات العامـة الــذي يعــد أحــد المحــركات األساســية لالقتصــاد واالســتثمار فــي المملكــة؛ وذلــك عبــر تطويــر ً مشـاريع كبـرى رائـدة محلي ً ـا وعالميـا، وإطـاق قطاعـات جديـدة تسـاهم فـي تحقيـق مسـتهدفات التنــوع االقتصــادي.",٤,12
ما نسبة التغير في الناتج المحلي للانشطة غير النفطية للنصف الأول من عام ٢٠٢٣ مقارنة بالسنة السابقة؟,كم تغير الناتج المحلي للأنشطة الغير نفطية في النصف الأول من ٢٠٢٣ مقارنة بالسنة اللي قبلها؟,٢.٥٠%,"أظهـرت البيانـات الفعليـة خـال النصـف األول مـن العـام 2023م نمـو الناتـج المحلـي اإلجمالي الحقيقـي بنسـبة 2.5 ً % مقارنـة بالفتـرة المماثلـة مـن العـام الماضـي، مدعومـا بنمـو األنشـطة غيـر النفطيـة بمعـدل ،%5.4 كانعـكاسٍ ناجـح لجهـود المملكـة فـي تعزيـز دور القطـاع الخـاص ليقـود
النمــو فــي اقتصــاد المملكــة.",٤,13
لماذا انخفض الناتج المحلي للانشطة النفطية في النصف الأول من عام ٢٠٢٣؟,ليش قل الناتج المحلي للأنشطة النفطية في النصف الأول من ٢٠٢٣؟,يعـزى ذلـك اللتـزام المملكـة بالخفـض الطوعـي لحصـص اإلنتـاج المتفـق عليهـا ضمـن اتفاقيـة أوبـك بلـس,"بينمــا شــهد الناتــج المحلــي لألنشــطة النفطيــة انخفاضً ــا بمعــدل %1.3 للفتـرة نفسـها، ويعـزى ذلـك اللتـزام المملكـة بالخفـض الطوعـي لحصـص اإلنتـاج المتفـق عليهـا ضمـن اتفاقيـة أوبـك بلـس.",٥,14
ما معدل التضخم المتوقع بنهاية ٢٠٢٣؟,كم تتوقعون يكون التضخم بنهاية ٢٠٢٣؟,٢.٦٠%,"وفيمــا يخــص المســتوى العــام ألســعار المســتهلك، فمــن المتوقــع أن يصــل متوســط معــدل التضخــم إلـى %2.6 بنهايـة العـام 2023 ً م، ويعـد هـذا المعـدل منخفضً ـا نسـبيا مقارنـة بالتضخـم العالمـي.",٥,17
ما اجمالي الإيرادات المتوقعة لعام ٢٠٢٣؟,كم تتوقعون تكون الإيرادات كلها في ٢٠٢٣؟,١١٩٣ مليار,"أمــا علــى جانــب تطــورات األداء المالــي فــي عــام 2023م، فمــن المتوقــع أن يبلــغ إجمالــي اإليـرادات حوالـي 1,193 مليـار ريـال بارتفـاع نسـبته %5.6 مقارنـة بالمقـدر فـي الميزانيـة؛ ويعـود ذلــك إلــى نمــو اإليــرادات غيــر النفطيــة والتــي تعكــس نمــو األنشــطة االقتصاديــة غيــر النفطيــة، والتطويــر المســتمر فــي اإلدارة الضريبيــة وتحســن إجــراءات التحصيــل.",٥,18
ما نسبة تطابق الانفاق الحكومي للميزانية المعتمدة؟,هل الإنفاق الحكومي ماشي صح على الميزانية المعتمدة؟,ارتفاع ١٤.٥٪,"ومـن المقـدر أن يبلـغ إجمالـي النفقـات لعـام 2023م حوالـي 1,275 ً مليـار ريـال مرتفعـا بنسـبة %14.5 عـن الميزانيـة المعتمـدة؛ ويعـزى هـذا االرتفـاع بشـكل رئيـس إلـى حـرص الحكومـة علـى حمايــة المواطنيــن مــن موجــة التضخــم المســتمرة التــي يشــهدها االقتصــاد العالمــي عبــر تعزيــز
اإلنفـاق االجتماعـي، مـع االسـتمرار فـي تطويـر مسـتوى الخدمـات العامـة المقدمـة للمواطنيـن
والمقيميـن، باإلضافـة إلـى مواصلـة تنفيـذ العديـد مـن المشـاريع واالسـتراتيجيات التـي مـن شـأنها
أن تحقـق تغيـرات هيكليـة إيجابيـة تـؤدي إلـى توسـيع وتنويـع القاعـدة االقتصاديـة. ",٥,20
